b'id',b'key',b'value',b'type'
b'36430878',b'highway',b'turning_circle',b'regular'
b'118114395',b'highway',b'traffic_signals',b'regular'
b'118114395',b'crossing',b'traffic_signals',b'regular'
b'145071667',b'is_in',"b'Ottawa, Canada'",b'regular'
b'145071667',b'name',b'Sheffield Glen',b'regular'
b'145071667',b'place',b'neighbourhood',b'regular'
b'145071667',b'wikidata',b'Q7492670',b'regular'
b'145071667',b'wikipedia',b'en:Sheffield Glen',b'regular'
b'244202671',b'source',b'Bing',b'regular'
b'244202671',b'highway',b'traffic_signals',b'regular'
b'286291244',b'source',b'Bing',b'regular'
b'286291244',b'highway',b'stop',b'regular'
b'287940986',b'highway',b'traffic_signals',b'regular'
b'287940986',b'crossing',b'traffic_signals',b'regular'
b'322843319',b'source',b'Bing',b'regular'
b'322843319',b'highway',b'traffic_signals',b'regular'
b'471268919',b'fee',b'no',b'regular'
b'471268919',b'name',b'Prom. Champlain',b'regular'
b'471268919',b'amenity',b'parking',b'regular'
b'471268919',b'parking',b'surface',b'regular'
b'471268919',b'capacity',b'30',b'regular'
b'471268919',b'park_ride',b'no',b'regular'
b'471268919',b'supervised',b'no',b'regular'
b'471271324',b'power',b'tower',b'regular'
b'474258324',b'highway',b'traffic_signals',b'regular'
b'474258324',b'crossing',b'traffic_signals',b'regular'
b'480775030',b'highway',b'turning_circle',b'regular'
b'481824332',b'highway',b'turning_circle',b'regular'
b'485197413',b'source',b'Bing',b'regular'
b'485197413',b'highway',b'turning_circle',b'regular'
b'495840415',b'highway',b'traffic_signals',b'regular'
b'504011760',b'city',b'Nepean',b'addr'
b'504011760',b'street',b'Harrison Street',b'addr'
b'504011760',b'housenumber',b'9',b'addr'
b'558685259',b'highway',b'traffic_signals',b'regular'
b'664212503',b'power',b'tower',b'regular'
b'664212503',b'source',b'Yahoo',b'regular'
b'672549400',b'name',b'Couche-Tard',b'regular'
b'672549400',b'amenity',b'fuel',b'regular'
b'672549400',b'operator',b'Couche-Tard',b'regular'
b'702789279',b'name',"b'2, 16'",b'regular'
b'702789279',b'fixme',b'Connect to bus stop with ref',b'regular'
b'702789279',b'highway',b'bus_stop',b'regular'
b'702789279',b'operator',b'OC Transpo',b'regular'
b'760170576',b'source',b'yahoo',b'regular'
b'760170576',b'highway',b'turning_circle',b'regular'
b'799646650',b'name',b'Bristol Mines',b'regular'
b'799646650',b'place',b'village',b'regular'
b'828261436',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828261436',b'street',b'Frank Kenny Road',b'addr'
b'828261436',b'housenumber',b'2377',b'addr'
b'828379354',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828379354',b'city',b'City of Ottawa',b'addr'
b'828379354',b'street',b'Calder Avenue',b'addr'
b'828379354',b'housenumber',b'2183',b'addr'
b'828379880',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828379880',b'city',b'City of Ottawa',b'addr'
b'828379880',b'street',b'Willard Street',b'addr'
b'828379880',b'housenumber',b'30',b'addr'
b'828380418',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828380418',b'city',b'City of Ottawa',b'addr'
b'828380418',b'street',b'Richmond Road',b'addr'
b'828380418',b'housenumber',b'1495',b'addr'
b'828381011',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828381011',b'city',b'City of Ottawa',b'addr'
b'828381011',b'street',b'Edgeworth Avenue',b'addr'
b'828381011',b'housenumber',b'446',b'addr'
b'828381572',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828381572',b'city',b'City of Ottawa',b'addr'
b'828381572',b'street',b'Richmond Road',b'addr'
b'828381572',b'housenumber',b'1071',b'addr'
b'828382014',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828382014',b'city',b'City of Ottawa',b'addr'
b'828382014',b'street',b'Iris Street',b'addr'
b'828382014',b'housenumber',b'2686',b'addr'
b'828383141',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828383141',b'city',b'City of Ottawa',b'addr'
b'828383141',b'street',b'Ferncroft Crescent',b'addr'
b'828383141',b'housenumber',b'1900',b'addr'
b'828383313',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828383313',b'city',b'City of Ottawa',b'addr'
b'828383313',b'street',b'Agincourt Road',b'addr'
b'828383313',b'housenumber',b'1199',b'addr'
b'828383601',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828383601',b'city',b'City of Ottawa',b'addr'
b'828383601',b'street',b'Pallister Private',b'addr'
b'828383601',b'housenumber',b'39',b'addr'
b'828383894',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828383894',b'city',b'City of Ottawa',b'addr'
b'828383894',b'street',b'Jefferson Street',b'addr'
b'828383894',b'housenumber',b'2331',b'addr'
b'828384407',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828384407',b'city',b'City of Ottawa',b'addr'
b'828384407',b'street',b'Doane Street',b'addr'
b'828384407',b'housenumber',b'84',b'addr'
b'828385104',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828385104',b'city',b'City of Ottawa',b'addr'
b'828385104',b'street',b'Crocus Avenue',b'addr'
b'828385104',b'housenumber',b'132',b'addr'
b'828385401',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828385401',b'city',b'City of Ottawa',b'addr'
b'828385401',b'street',b'Ossington Avenue',b'addr'
b'828385401',b'housenumber',b'43',b'addr'
b'828385557',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828385557',b'city',b'City of Ottawa',b'addr'
b'828385557',b'street',b'Kingsmere Avenue',b'addr'
b'828385557',b'housenumber',b'811',b'addr'
b'828385941',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828385941',b'city',b'City of Ottawa',b'addr'
b'828385941',b'street',b'Fairlea Crescent',b'addr'
b'828385941',b'housenumber',b'3008',b'addr'
b'828386242',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828386242',b'city',b'City of Ottawa',b'addr'
b'828386242',b'street',b'Chalmers Road',b'addr'
b'828386242',b'housenumber',b'2084',b'addr'
b'828386383',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828386383',b'city',b'City of Ottawa',b'addr'
b'828386383',b'street',b'Mutchmor Road',b'addr'
b'828386383',b'housenumber',b'4',b'addr'
b'828386652',b'city',b'City of Ottawa',b'addr'
b'828386652',b'housenumber',b'2125',b'addr'
b'828386652',b'street',b'Bel-Air Drive',b'addr'
b'828386652',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828386960',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828386960',b'city',b'City of Ottawa',b'addr'
b'828386960',b'street',b'Woodroffe Avenue',b'addr'
b'828386960',b'housenumber',b'1100',b'addr'
b'828387115',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828387115',b'city',b'City of Ottawa',b'addr'
b'828387115',b'street',b'Featherston Drive',b'addr'
b'828387115',b'housenumber',b'1738',b'addr'
b'828387777',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828387777',b'city',b'City of Ottawa',b'addr'
b'828387777',b'street',b'Maybank Street',b'addr'
b'828387777',b'housenumber',b'1174',b'addr'
b'828388069',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828388069',b'city',b'City of Ottawa',b'addr'
b'828388069',b'street',b'Hastings Avenue',b'addr'
b'828388069',b'housenumber',b'682',b'addr'
b'828388254',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828388254',b'street',b'Woodridge Crescent',b'addr'
b'828388254',b'housenumber',b'145',b'addr'
b'828388403',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828388403',b'street',b'Covington Place',b'addr'
b'828388403',b'housenumber',b'2',b'addr'
b'828388563',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828388563',b'city',b'City of Ottawa',b'addr'
b'828388563',b'street',b'Thorne Avenue',b'addr'
b'828388563',b'housenumber',b'2026',b'addr'
b'828388991',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828388991',b'city',b'City of Ottawa',b'addr'
b'828388991',b'street',b'Garand Place',b'addr'
b'828388991',b'housenumber',b'15',b'addr'
b'828389137',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828389137',b'city',b'City of Ottawa',b'addr'
b'828389137',b'street',b'Richard Avenue',b'addr'
b'828389137',b'housenumber',b'1100',b'addr'
b'828389265',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828389265',b'city',b'City of Ottawa',b'addr'
b'828389265',b'street',b'Talback Place',b'addr'
b'828389265',b'housenumber',b'2',b'addr'
b'828389423',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828389423',b'city',b'City of Ottawa',b'addr'
b'828389423',b'street',b'Avalon Place',b'addr'
b'828389423',b'housenumber',b'400',b'addr'
b'828389587',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828389587',b'city',b'City of Ottawa',b'addr'
b'828389587',b'street',b'Balfour Avenue',b'addr'
b'828389587',b'housenumber',b'148',b'addr'
b'828389991',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828389991',b'city',b'City of Ottawa',b'addr'
b'828389991',b'street',b'Dublin Avenue',b'addr'
b'828389991',b'housenumber',b'2178',b'addr'
b'828390202',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828390202',b'city',b'City of Ottawa',b'addr'
b'828390202',b'street',b'Alta Vista Drive',b'addr'
b'828390202',b'housenumber',b'2030',b'addr'
b'828390386',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828390386',b'city',b'City of Ottawa',b'addr'
b'828390386',b'street',b'Edge Hill Place',b'addr'
b'828390386',b'housenumber',b'1609',b'addr'
b'828390754',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828390754',b'city',b'City of Ottawa',b'addr'
b'828390754',b'street',b'Crane Street',b'addr'
b'828390754',b'housenumber',b'2311',b'addr'
b'828391594',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828391594',b'city',b'City of Ottawa',b'addr'
b'828391594',b'street',b'Carling Avenue',b'addr'
b'828391594',b'housenumber',b'3093',b'addr'
b'828391908',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828391908',b'city',b'City of Ottawa',b'addr'
b'828391908',b'street',b'Woodland Avenue',b'addr'
b'828391908',b'housenumber',b'454',b'addr'
b'828392068',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828392068',b'city',b'City of Ottawa',b'addr'
b'828392068',b'street',b'Drury Lane',b'addr'
b'828392068',b'housenumber',b'2347',b'addr'
b'828392370',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828392370',b'city',b'City of Ottawa',b'addr'
b'828392370',b'street',b'Ritchie Street',b'addr'
b'828392370',b'housenumber',b'74',b'addr'
b'828392537',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828392537',b'city',b'City of Ottawa',b'addr'
b'828392537',b'street',b'Carnegie Street',b'addr'
b'828392537',b'housenumber',b'2132',b'addr'
b'828392694',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828392694',b'city',b'City of Ottawa',b'addr'
b'828392694',b'street',b'Alta Vista Drive',b'addr'
b'828392694',b'housenumber',b'1981',b'addr'
b'828393169',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828393169',b'city',b'City of Ottawa',b'addr'
b'828393169',b'street',b'Wentworth Avenue',b'addr'
b'828393169',b'housenumber',b'525',b'addr'
b'828393478',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828393478',b'city',b'City of Ottawa',b'addr'
b'828393478',b'street',b'Heatherington Road',b'addr'
b'828393478',b'housenumber',b'1700',b'addr'
b'828393625',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828393625',b'city',b'City of Ottawa',b'addr'
b'828393625',b'street',b'Grenon Avenue',b'addr'
b'828393625',b'housenumber',b'856',b'addr'
b'828393969',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828393969',b'city',b'City of Ottawa',b'addr'
b'828393969',b'street',b'Lenester Avenue',b'addr'
b'828393969',b'housenumber',b'1875',b'addr'
b'828394141',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828394141',b'city',b'City of Ottawa',b'addr'
b'828394141',b'street',b'Hillary Avenue',b'addr'
b'828394141',b'housenumber',b'2276',b'addr'
b'828394470',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828394470',b'city',b'City of Ottawa',b'addr'
b'828394470',b'street',b'Pullen Avenue',b'addr'
b'828394470',b'housenumber',b'1639',b'addr'
b'828394618',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828394618',b'city',b'City of Ottawa',b'addr'
b'828394618',b'street',b'Iris Street',b'addr'
b'828394618',b'housenumber',b'2510',b'addr'
b'828395577',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828395577',b'city',b'City of Ottawa',b'addr'
b'828395577',b'street',b'Midway Avenue',b'addr'
b'828395577',b'housenumber',b'2340',b'addr'
b'828395721',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828395721',b'city',b'City of Ottawa',b'addr'
b'828395721',b'street',b'Rideout Crescent',b'addr'
b'828395721',b'housenumber',b'1313',b'addr'
b'828395863',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828395863',b'city',b'City of Ottawa',b'addr'
b'828395863',b'street',b'Richmond Road',b'addr'
b'828395863',b'housenumber',b'3021',b'addr'
b'828396401',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828396401',b'city',b'City of Ottawa',b'addr'
b'828396401',b'street',b'Arch Street',b'addr'
b'828396401',b'housenumber',b'2191',b'addr'
b'828396556',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828396556',b'city',b'City of Ottawa',b'addr'
b'828396556',b'street',b'Gore Private',b'addr'
b'828396556',b'housenumber',b'18',b'addr'
b'828396873',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828396873',b'city',b'City of Ottawa',b'addr'
b'828396873',b'street',b'Regina Street',b'addr'
b'828396873',b'housenumber',b'2634',b'addr'
b'828397194',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828397194',b'city',b'City of Ottawa',b'addr'
b'828397194',b'street',b'Penny Drive',b'addr'
b'828397194',b'housenumber',b'2963',b'addr'
b'828397343',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828397343',b'city',b'City of Ottawa',b'addr'
b'828397343',b'street',b'Drury Lane',b'addr'
b'828397343',b'housenumber',b'2407',b'addr'
b'828397516',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828397516',b'city',b'City of Ottawa',b'addr'
b'828397516',b'street',b'Barwell Avenue',b'addr'
b'828397516',b'housenumber',b'977',b'addr'
b'828397672',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828397672',b'city',b'City of Ottawa',b'addr'
b'828397672',b'street',b'Pleasant Park Road',b'addr'
