b'id',b'key',b'value',b'type'
b'4970257',b'highway',b'service',b'regular'
b'5004816',b'highway',b'path',b'regular'
b'5904638',b'name',b'Barrhaven Town Centre',b'regular'
b'5904638',b'landuse',b'retail',b'regular'
b'5904638',b'website',b'http://www.nadg.com/wp-content/uploads/Barrhaven-Plan.pdf',b'regular'
b'8897796',b'oneway',b'yes',b'regular'
b'8897796',b'highway',b'service',b'regular'
b'10278500',b'name',b'Rue Mance',b'regular'
b'10278500',b'lanes',b'2',b'regular'
b'10278500',b'highway',b'residential',b'regular'
b'10278500',b'surface',b'asphalt',b'regular'
b'10712087',b'name',b'Rue Lafortune',b'regular'
b'10712087',b'lanes',b'2',b'regular'
b'10712087',b'highway',b'residential',b'regular'
b'10712087',b'surface',b'asphalt',b'regular'
b'12374547',b'name',b'Rue Binet',b'regular'
b'12374547',b'lanes',b'2',b'regular'
b'12374547',b'highway',b'residential',b'regular'
b'12911131',b'name',b'Rue Brady',b'regular'
b'12911131',b'lanes',b'2',b'regular'
b'12911131',b'highway',b'residential',b'regular'
b'15436430',b'name',b'Notre-Dame Cemetery',b'regular'
b'15436430',b'landuse',b'cemetery',b'regular'
b'15436430',b'fr',b'cimeti\xc3\xa8re Notre-Dame de Lourdes',b'name'
b'15436430',b'religion',b'christian',b'regular'
b'15436430',b'wikidata',b'Q7063337',b'regular'
b'15436430',b'denomination',b'catholic',b'regular'
b'19083366',b'highway',b'service',b'regular'
b'22764517',b'name',b'Rue Laurentien',b'regular'
b'22764517',b'lanes',b'2',b'regular'
b'22764517',b'highway',b'residential',b'regular'
b'22764517',b'surface',b'asphalt',b'regular'
b'22939905',b'name',b'Impasse de la Pommeraie',b'regular'
b'22939905',b'lanes',b'2',b'regular'
b'22939905',b'highway',b'residential',b'regular'
b'22939905',b'surface',b'asphalt',b'regular'
b'23190224',b'name',b'Croissant de la Paix',b'regular'
b'23190224',b'highway',b'residential',b'regular'
b'23295163',b'foot',b'yes',b'regular'
b'23295163',b'highway',b'path',b'regular'
b'26072672',b'name',b'Richer Circle',b'regular'
b'26072672',b'lanes',b'2',b'regular'
b'26072672',b'source',b'NRCan-CanVec-10.0',b'regular'
b'26072672',b'highway',b'residential',b'regular'
b'26072672',b'surface',b'asphalt',b'regular'
b'26149175',b'name',"b""Rue de l'\xc3\x89t\xc3\xa9""",b'regular'
b'26149175',b'lanes',b'2',b'regular'
b'26149175',b'highway',b'residential',b'regular'
b'26149175',b'surface',b'asphalt',b'regular'
b'26149175',b'sidewalk',b'none',b'regular'
b'26200387',b'name',b'Rue du Z\xc3\xa9phyr',b'regular'
b'26200387',b'highway',b'residential',b'regular'
b'26320491',b'oneway',b'yes',b'regular'
b'26320491',b'highway',b'service',b'regular'
b'26719847',b'foot',b'yes',b'regular'
b'26719847',b'name',b'Ottawa River Pathway',b'regular'
b'26719847',b'width',b'2',b'regular'
b'26719847',b'oneway',b'no',b'regular'
b'26719847',b'bicycle',b'yes',b'regular'
b'26719847',b'highway',b'path',b'regular'
b'26719847',b'surface',b'asphalt',b'regular'
b'29100358',b'bicycle',b'yes',b'regular'
b'29100358',b'highway',b'path',b'regular'
b'29100358',b'surface',b'asphalt',b'regular'
b'29600370',b'aeroway',b'taxiway',b'regular'
b'32089626',b'ref',b'44',b'regular'
b'32089626',b'name',b'County Road 44',b'regular'
b'32089626',b'highway',b'secondary',b'regular'
b'32089626',b'surface',b'paved',b'regular'
b'33980387',b'name',b'Concession 10a Road',b'regular'
b'33980387',b'is_in',"b'Ontario,Canada'",b'regular'
b'33980387',b'lanes',b'2',b'regular'
b'33980387',b'source',b'Geobase_Import_2009',b'regular'
b'33980387',b'highway',b'residential',b'regular'
b'33980387',b'surface',b'unpaved',b'regular'
b'33980387',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'33980387',b'uuid',b'64035cdf7d4f4578b2ac4a1e36513c92',b'geobase'
b'33980387',b'rbuid',b'3869525',b'statscan'
b'33980387',b'datasetName',b'NRN:Ontario',b'geobase'
b'33980387',b'acquisitionTechnique',b'GPS',b'geobase'
b'33992124',b'name',b'Armstrong Sideroad',b'regular'
b'33992124',b'is_in',"b'Ontario,Canada'",b'regular'
b'33992124',b'lanes',b'2',b'regular'
b'33992124',b'source',b'Geobase_Import_2009',b'regular'
b'33992124',b'highway',b'residential',b'regular'
b'33992124',b'surface',b'unpaved',b'regular'
b'33992124',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'33992124',b'uuid',b'911954f7f4754f868bd14e9ce81ea1f8',b'geobase'
b'33992124',b'rbuid',b'3869515',b'statscan'
b'33992124',b'datasetName',b'NRN:Ontario',b'geobase'
b'33992124',b'acquisitionTechnique',b'GPS',b'geobase'
b'34153313',b'ref',b'CR 18',b'regular'
b'34153313',b'name',b'County Road 18',b'regular'
b'34153313',b'is_in',"b'Ontario,Canada'",b'regular'
b'34153313',b'lanes',b'2',b'regular'
b'34153313',b'source',b'Geobase_Import_2009',b'regular'
b'34153313',b'highway',b'secondary',b'regular'
b'34153313',b'surface',b'asphalt',b'regular'
b'34153313',b'sidewalk',b'none',b'regular'
b'34153313',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'34153313',b'rbuid',b'2106499',b'statscan'
b'34153313',b'acquisitionTechnique',b'Vector Data',b'geobase'
b'34153969',b'ref',b'CR 5',b'regular'
b'34153969',b'name',b'County Road 5',b'regular'
b'34153969',b'is_in',"b'Ontario,Canada'",b'regular'
b'34153969',b'lanes',b'2',b'regular'
b'34153969',b'source',b'Geobase_Import_2009',b'regular'
b'34153969',b'highway',b'secondary',b'regular'
b'34153969',b'fr',b'chemin County 5',b'name'
b'34153969',b'surface',b'paved',b'regular'
b'34153969',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'34153969',b'rbuid',b'3869755',b'statscan'
b'34153969',b'acquisitionTechnique',b'Vector Data',b'geobase'
b'34154622',b'ref',b'25',b'regular'
b'34154622',b'name',b'County Road 25',b'regular'
b'34154622',b'is_in',"b'Ontario,Canada'",b'regular'
b'34154622',b'lanes',b'2',b'regular'
b'34154622',b'source',b'Geobase_Import_2009',b'regular'
b'34154622',b'highway',b'secondary',b'regular'
b'34154622',b'fr',b'chemin County 25',b'name'
b'34154622',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'34154622',b'rbuid',b'4187494',b'statscan'
b'34154622',b'acquisitionTechnique',b'Vector Data',b'geobase'
b'34155215',b'alt_name',b'County Road 31',b'regular'
b'34155215',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'34155215',b'acquisitionTechnique',b'Vector Data',b'geobase'
b'34155215',b'highway',b'secondary',b'regular'
b'34155215',b'is_in',"b'Ontario,Canada'",b'regular'
b'34155215',b'lanes',b'2',b'regular'
b'34155215',b'name',b'County Road 31',b'regular'
b'34155215',b'ref',b'CR 31',b'regular'
b'34155215',b'source',b'Geobase_Import_2009',b'regular'
b'34155215',b'rbuid',b'3870105',b'statscan'
b'34155215',b'surface',b'paved',b'regular'
b'35054733',b'name',b'Fred Street',b'regular'
b'35054733',b'is_in',"b'Ontario,Canada'",b'regular'
b'35054733',b'lanes',b'2',b'regular'
b'35054733',b'source',b'Geobase_Import_2009',b'regular'
b'35054733',b'highway',b'residential',b'regular'
b'35054733',b'fr',b'rue Fred',b'name'
b'35054733',b'surface',b'paved',b'regular'
b'35054733',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35054733',b'uuid',b'100f111559fa4d7a8008ab2d986c6ac6',b'geobase'
b'35054733',b'rbuid',b'4193876',b'statscan'
b'35054733',b'datasetName',b'NRN:Ontario',b'geobase'
b'35054733',b'acquisitionTechnique',b'GPS',b'geobase'
b'35055292',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35055292',b'acquisitionTechnique',b'Vector Data',b'geobase'
b'35055292',b'highway',b'residential',b'regular'
b'35055292',b'lanes',b'2',b'regular'
b'35055292',b'name',b'Cooper Hill Road',b'regular'
b'35055292',b'fr',b'chemin Cooper Hill',b'name'
b'35055292',b'source',b'Geobase_Import_2009',b'regular'
b'35055292',b'rbuid',b'786491',b'statscan'
b'35055976',b'foot',b'yes',b'regular'
b'35055976',b'name',b'Lavigne Street',b'regular'
b'35055976',b'horse',b'yes',b'regular'
b'35055976',b'is_in',"b'Ontario,Canada'",b'regular'
b'35055976',b'lanes',b'2',b'regular'
b'35055976',b'access',b'yes',b'regular'
b'35055976',b'oneway',b'no',b'regular'
b'35055976',b'source',b'Geobase_Import_2009',b'regular'
b'35055976',b'bicycle',b'yes',b'regular'
b'35055976',b'highway',b'residential',b'regular'
b'35055976',b'surface',b'paved',b'regular'
b'35055976',b'cycleway',b'no',b'regular'
b'35055976',b'maxspeed',b'50',b'regular'
b'35055976',b'sidewalk',b'none',b'regular'
b'35055976',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35055976',b'rbuid',b'900989; 900979',b'statscan'
b'35055976',b'acquisitionTechnique',b'GPS',b'geobase'
b'35056552',b'name',b'Louise Street',b'regular'
b'35056552',b'is_in',"b'Ontario,Canada'",b'regular'
b'35056552',b'lanes',b'2',b'regular'
b'35056552',b'source',b'Geobase_Import_2009',b'regular'
b'35056552',b'highway',b'residential',b'regular'
b'35056552',b'fr',b'rue Louise',b'name'
b'35056552',b'surface',b'paved',b'regular'
b'35056552',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35056552',b'uuid',b'5e7dc2a29c68484a9003eba7b62e6f88',b'geobase'
b'35056552',b'rbuid',b'2787995',b'statscan'
b'35056552',b'datasetName',b'NRN:Ontario',b'geobase'
b'35056552',b'acquisitionTechnique',b'GPS',b'geobase'
b'35057140',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35057140',b'bridge',b'yes',b'regular'
b'35057140',b'acquisitionTechnique',b'Vector Data',b'geobase'
b'35057140',b'highway',b'residential',b'regular'
b'35057140',b'lanes',b'2',b'regular'
b'35057140',b'layer',b'1',b'regular'
b'35057140',b'name',b'Pana Road',b'regular'
b'35057140',b'fr',b'chemin Pana',b'name'
b'35057140',b'source',b'Geobase_Import_2009',b'regular'
b'35057140',b'rbuid',b'786488',b'statscan'
b'35057852',b'name',b'Development Road',b'regular'
b'35057852',b'is_in',"b'Ontario,Canada'",b'regular'
b'35057852',b'lanes',b'2',b'regular'
b'35057852',b'source',b'Geobase_Import_2009',b'regular'
b'35057852',b'highway',b'residential',b'regular'
b'35057852',b'fr',b'chemin Development',b'name'
b'35057852',b'surface',b'unpaved',b'regular'
b'35057852',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35057852',b'acquisitionTechnique',b'GPS',b'geobase'
b'35058419',b'name',b'Seguinbourg Street',b'regular'
b'35058419',b'is_in',"b'Ontario,Canada'",b'regular'
b'35058419',b'lanes',b'2',b'regular'
b'35058419',b'source',b'Geobase_Import_2009',b'regular'
b'35058419',b'highway',b'residential',b'regular'
b'35058419',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'35058419',b'rbuid',b'2789067',b'statscan'
b'35058419',b'acquisitionTechnique',b'GPS',b'geobase'
